Day,S1,S2,S3,S4
1,127.924267,136.2764758,131.4509429,133.8258754
2,117.1986051,139.5164781,108.0542627,180.2356639
3,122.6040163,136.1035937,129.6207146,169.161699
4,114.2573517,109.3478889,109.9673745,171.716876
5,136.6675997,120.7838211,99.52716246,141.7363399
6,111.3536871,111.8472625,111.0554631,152.2265364
7,132.0251694,114.5264464,122.0829841,180.4537268
8,112.4346434,135.1850003,110.5094088,162.2333589
9,118.9591238,136.2480536,114.362932,141.930987
10,135.6141356,112.320095,126.0962122,153.0259342
11,136.4194313,107.3059504,115.4592892,173.1652516
12,115.3526476,124.9202035,106.3155646,173.6062209
13,116.7172783,131.3904602,102.4123473,149.8829928
14,117.2256734,96.20459576,117.4112683,162.6040221
