R,,,,,,
Wavelength,S1 2000rpm,S2 2000rpm,S3 2200rpm,S4 1800rpm,S5 1800rpm,S6 2000rpm
207.012,0.2051029,0.1451498,0.1419943,0.1782818,0.2666338,0.2208801
208.227,0.1957496,0.1667496,0.1594997,0.1609496,0.2566494,0.2102495
209.441,0.200657,0.12757,0.1807242,0.1382009,0.264442,0.209959
210.656,0.180464,0.1100089,0.1409103,0.1285497,0.2558634,0.1866443
211.871,0.1955903,0.1276607,0.1522559,0.1827071,0.2424383,0.1991039
213.085,0.1773793,0.1440535,0.1451285,0.1462036,0.2483311,0.1999549
214.3,0.1884268,0.1410881,0.1680062,0.1485138,0.2534016,0.2042064
215.515,0.1827536,0.1147874,0.151036,0.138198,0.234861,0.1835088
216.729,0.1796938,0.134029,0.1429248,0.1518205,0.218835,0.1624954
217.944,0.1639946,0.1418096,0.1318047,0.1431146,0.1909645,0.1526846
219.159,0.1547429,0.1354,0.1271102,0.1372422,0.1802264,0.1439969
220.373,0.1545615,0.1337764,0.1227205,0.1337764,0.1693765,0.1359876
221.588,0.1490728,0.13758,0.1195913,0.1324166,0.1595662,0.1267535
222.803,0.1448417,0.1384992,0.1153297,0.1295679,0.1476893,0.1199895
224.017,0.1410543,0.1376715,0.1120439,0.123115,0.1358263,0.1150167
225.232,0.1422883,0.137342,0.1099725,0.1184636,0.1253884,0.1109618
226.447,0.1458756,0.138074,0.1105668,0.116149,0.1125172,0.1068006
227.661,0.1517429,0.1362917,0.1093767,0.1136964,0.0984114,0.1025095
228.876,0.162091,0.1327031,0.1093576,0.1143471,0.0947095,0.1031779
230.09,0.1719006,0.1294377,0.1112231,0.1152075,0.0946402,0.1039752
231.305,0.1835605,0.1254809,0.1164119,0.1154007,0.0949244,0.1032666
232.52,0.1971232,0.1210718,0.1221336,0.1151522,0.1007383,0.1039768
233.734,0.21384,0.1172118,0.1285746,0.1196693,0.1240655,0.1138526
234.949,0.2249118,0.1138582,0.1331786,0.1259334,0.1511162,0.1284069
236.164,0.2236219,0.1124134,0.1388384,0.1281479,0.1555196,0.1352749
237.378,0.2110614,0.1112421,0.1461351,0.1211177,0.1398065,0.1298996
238.593,0.1993374,0.1107592,0.1569491,0.1127039,0.1492727,0.1241234
239.808,0.1997594,0.1114524,0.1694847,0.1141804,0.2185317,0.1317574
241.022,0.2136952,0.1124573,0.1804676,0.1284948,0.3347198,0.1534468
242.237,0.2332568,0.1127277,0.1882723,0.1486058,0.4536187,0.1779593
243.452,0.2459544,0.1115728,0.1914328,0.1615557,0.538842,0.1910281
244.666,0.2428606,0.1109113,0.1923542,0.1587387,0.5775166,0.188979
245.881,0.2232879,0.1127242,0.1953629,0.1403131,0.5674135,0.1836168
247.096,0.1908836,0.1165804,0.2012874,0.1130163,0.510788,0.1926487
